Categoria,Nome Famiglia,Nome Tipo,ID Elemento,Stato
OST_DuctTerminal,IM_DIS_BOC_Valvola estrazione aria,Balance-E-125 Return valve,2367054,1
OST_DuctFitting,IM_COL_CIR_Lzi_Raccordo,Standard,2367057,1
OST_DuctTerminal,IM_DIS_BOC_Valvola estrazione aria,Balance-E-125 Return valve,2367074,1
OST_DuctFitting,IM_COL_CIR_Lzi_Raccordo,Standard,2367078,1
OST_DuctTerminal,IM_DIS_BOC_Valvola estrazione aria,Balance-E-125 Return valve,2367080,1
OST_DuctFitting,IM_COL_CIR_Lzi_Raccordo,Standard,2367083,1
OST_DuctTerminal,IM_DIS_BOC_Valvola estrazione aria,Balance-E-125 Return valve,2367085,1
OST_DuctFitting,IM_COL_CIR_Lzi_Raccordo,Standard,2367088,1
OST_DuctTerminal,IM_DIS_BOC_Valvola estrazione aria,Balance-E-125 Return valve,2367090,1
OST_DuctFitting,IM_COL_CIR_Lzi_Raccordo,Standard,2367093,1
OST_DuctTerminal,IM_DIS_BOC_Valvola estrazione aria,Balance-E-125 Return valve,2367095,1
OST_DuctFitting,IM_COL_CIR_Lzi_Raccordo,Standard,2367098,1
OST_DuctTerminal,IM_DIS_BOC_Valvola estrazione aria,Balance-E-125 Return valve,2367153,1
OST_DuctFitting,IM_COL_CIR_Lzi_Raccordo,Standard,2367155,1
OST_DuctTerminal,IM_DIS_BOC_Valvola estrazione aria,Balance-E-125 Return valve,2367157,1
OST_DuctFitting,IM_COL_CIR_Lzi_Raccordo,Standard,2367158,1
OST_DuctTerminal,IM_DIS_BOC_Valvola estrazione aria,Balance-E-125 Return valve,2367160,1
OST_DuctFitting,IM_COL_CIR_Lzi_Raccordo,Standard,2367161,1
OST_DuctTerminal,IM_DIS_BOC_Valvola estrazione aria,Balance-E-125 Return valve,2367163,1
OST_DuctFitting,IM_COL_CIR_Lzi_Raccordo,Standard,2367164,1
OST_DuctTerminal,IM_DIS_BOC_Valvola estrazione aria,Balance-E-125 Return valve,2367166,1
OST_DuctFitting,IM_COL_CIR_Lzi_Raccordo,Standard,2367167,1
OST_DuctTerminal,IM_DIS_BOC_Valvola estrazione aria,Balance-E-125 Return valve,2367169,1
OST_DuctFitting,IM_COL_CIR_Lzi_Raccordo,Standard,2367171,1
OST_DuctTerminal,IM_DIS_BOC_Valvola estrazione aria,Balance-E-125 Return valve,2367173,1
OST_DuctFitting,IM_COL_CIR_Lzi_Raccordo,Standard,2367174,1
OST_DuctTerminal,IM_DIS_BOC_Valvola estrazione aria,Balance-E-125 Return valve,2367176,1
OST_DuctFitting,IM_COL_CIR_Lzi_Raccordo,Standard,2367177,1
OST_DuctTerminal,IM_DIS_BOC_Valvola estrazione aria,Balance-E-125 Return valve,2367179,1
OST_DuctFitting,IM_COL_CIR_Lzi_Raccordo,Standard,2367180,1
OST_DuctTerminal,IM_DIS_BOC_Valvola estrazione aria,Balance-E-125 Return valve,2367182,1
OST_DuctFitting,IM_COL_CIR_Lzi_Raccordo,Standard,2367183,1
OST_DuctTerminal,IM_DIS_BOC_Valvola estrazione aria,Balance-E-125 Return valve,2367379,1
OST_DuctFitting,IM_COL_CIR_Lzi_Raccordo,Standard,2367380,1
OST_DuctFitting,IM_COL_RET_Lzi_Connettore,Standard,2367465,1
OST_DuctTerminal,IM_DIS_BOC_Valvola estrazione aria,Balance-E-125 Return valve,2367509,1
OST_DuctFitting,IM_COL_CIR_Lzi_Raccordo,Standard,2367510,1
OST_DuctTerminal,IM_DIS_BOC_Valvola estrazione aria,Balance-E-125 Return valve,2367531,1
OST_DuctFitting,IM_COL_CIR_Lzi_Raccordo,Standard,2367532,1
OST_DuctTerminal,IM_DIS_BOC_Valvola estrazione aria,Balance-E-125 Return valve,2367570,1
OST_DuctFitting,IM_COL_CIR_Lzi_Raccordo,Standard,2367571,1
OST_DuctTerminal,IM_DIS_BOC_Valvola estrazione aria,Balance-E-125 Return valve,2367588,1
OST_DuctFitting,IM_COL_CIR_Lzi_Raccordo,Standard,2367589,1
OST_DuctFitting,IM_COL_RET_Lzi_Connettore,Standard,2367872,1
OST_DuctFitting,IM_COL_RET_Lzi_Connettore,Standard,2367875,1
OST_DuctFitting,IM_COL_RET_Lzi_Connettore,Standard,2367878,1
OST_DuctFitting,IM_COL_RET_Lzi_Connettore,Standard,2368039,1
OST_DuctFitting,IM_COL_RET_Lzi_Calotta chiusura,20 cm,2368046,1
OST_DuctFitting,IM_COL_RET_Lzi_Calotta chiusura,20 cm,2368047,1
OST_DuctFitting,IM_COL_RET_Lzi_Calotta chiusura,20 cm,2368048,1
OST_DuctFitting,IM_COL_RET_Lzi_Calotta chiusura,20 cm,2368049,1
OST_DuctFitting,IM_COL_RET_Lzi_Calotta chiusura,20 cm,2368050,1
OST_DuctFitting,IM_COL_RET_Lzi_Calotta chiusura,20 cm,2368051,1
OST_DuctFitting,IM_COL_RET_Lzi_Calotta chiusura,20 cm,2368052,1
OST_DuctTerminal,IM_DIS_BOC_Valvola estrazione aria,Balance-E-125 Return valve,2368208,1
OST_DuctFitting,IM_COL_CIR_Lzi_Raccordo,Standard,2368209,1
OST_DuctTerminal,IM_DIS_BOC_Valvola estrazione aria,Balance-E-125 Return valve,2368212,1
OST_DuctFitting,IM_COL_CIR_Lzi_Raccordo,Standard,2368213,1
OST_DuctFitting,IM_COL_RET_Lzi_Connettore,Standard,2368355,1
OST_DuctFitting,IM_COL_RET_Lzi_Calotta chiusura,20 cm,2368679,1
OST_DuctFitting,IM_COL_RET_Lzi_GomitoL,0.6 W,2369022,1
OST_DuctFitting,IM_COL_RET_Lzi_GomitoL,0.6 W,2369032,1
OST_DuctFitting,IM_DIS_ACC_Raccordo condotto transizione rettangolare,45 Degree,2369033,1
OST_DuctFitting,IM_COL_RET_Lzi_Calotta chiusura,20 cm,2369220,1
OST_DuctFitting,IM_COL_RET_Lzi_Calotta chiusura,20 cm,2369221,1
OST_DuctFitting,IM_COL_RET_Lzi_Connettore,Standard,2369245,1
OST_DuctFitting,IM_COL_RET_Lzi_Calotta chiusura,20 cm,2369280,1
OST_DuctFitting,IM_COL_RET_Lzi_Calotta chiusura,20 cm,2369423,1
OST_DuctFitting,IM_COL_RET_Lzi_Connettore,Standard,2369465,1
OST_DuctFitting,IM_COL_RET_Lzi_Connettore,Standard,2369468,1
OST_DuctFitting,IM_COL_RET_Lzi_Connettore,Standard,2369469,1
OST_DuctFitting,IM_COL_RET_Lzi_Connettore,Standard,2369470,1
OST_DuctFitting,IM_COL_RET_Lzi_TransizioneL,default,2369489,1
OST_DuctFitting,IM_COL_RET_Lzi_GomitoL,0.6 W,2369490,1
OST_DuctTerminal,IM_DIS_BOC_Valvola estrazione aria,Balance-E-125 Return valve,2369802,1
OST_DuctFitting,IM_COL_CIR_Lzi_Raccordo,Standard,2369803,1
OST_DuctTerminal,IM_DIS_BOC_Valvola estrazione aria,Balance-E-125 Return valve,2369805,1
OST_DuctFitting,IM_COL_CIR_Lzi_Raccordo,Standard,2369806,1
OST_DuctTerminal,IM_DIS_BOC_Valvola estrazione aria,Balance-E-125 Return valve,2369843,1
OST_DuctFitting,IM_COL_CIR_Lzi_Raccordo,Standard,2369844,1
OST_DuctTerminal,IM_DIS_BOC_Valvola estrazione aria,Balance-E-125 Return valve,2369846,1
OST_DuctFitting,IM_COL_CIR_Lzi_Raccordo,Standard,2369847,1
OST_DuctTerminal,IM_DIS_BOC_Valvola estrazione aria,Balance-E-125 Return valve,2369908,1
OST_DuctFitting,IM_COL_CIR_Lzi_Raccordo,Standard,2369909,1
OST_DuctFitting,DiRoots-FR-Temp-0,default,2370029,1
OST_DuctFitting,IM_COL_RET_Lzi_Connettore,Standard,2370093,1
OST_DuctFitting,IM_COL_RET_Lzi_Connettore,Standard,2370096,1
OST_DuctFitting,IM_COL_RET_Lzi_Calotta chiusura,20 cm,2370167,1
OST_DuctFitting,IM_COL_RET_Lzi_Calotta chiusura,20 cm,2370168,1
OST_DuctFitting,IM_COL_RET_Lzi_Connettore,Standard,2370205,1
OST_DuctFitting,IM_COL_RET_Lzi_Calotta chiusura,20 cm,2370212,1
OST_DuctTerminal,IM_DIS_BOC_Valvola estrazione aria,Balance-E-125 Return valve,2370239,1
OST_DuctFitting,IM_COL_CIR_Lzi_Raccordo,Standard,2370240,1
OST_DuctFitting,IM_COL_RET_Lzi_Calotta chiusura,20 cm,2370281,1
OST_DuctFitting,IM_COL_RET_Lzi_Connettore,Standard,2370330,1
OST_DuctFitting,IM_COL_RET_Lzi_Calotta chiusura,20 cm,2370347,1
OST_DuctFitting,IM_COL_CIR_Lzi_Raccordo,Standard,2370447,1
OST_DuctFitting,IM_COL_RET_Lzi_Calotta chiusura,20 cm,2370470,1
OST_DuctFitting,DiRoots-FR-Temp-0,default,2370558,1
OST_DuctFitting,DiRoots-FR-Temp-0,default,2370872,1
OST_DuctFitting,DiRoots-FR-Temp-0,default,2370881,1
OST_DuctFitting,DiRoots-FR-Temp-0,default,2370884,1
OST_DuctFitting,DiRoots-FR-Temp-0,default,2370913,1
OST_DuctFitting,DiRoots-FR-Temp-0,default,2371008,1
OST_DuctFitting,DiRoots-FR-Temp-0,default,2371110,1
OST_DuctFitting,DiRoots-FR-Temp-0,default,2371118,1
OST_DuctTerminal,IM_DIS_BOC_Valvola estrazione aria,Balance-E-125 Return valve,2371168,1
OST_DuctFitting,IM_COL_CIR_Lzi_Raccordo,Standard,2371169,1
OST_DuctFitting,IM_COL_RET_Lzi_Connettore,Standard,2371211,1
OST_DuctFitting,IM_COL_RET_Lzi_Connettore,Standard,2371226,1
