Categoria,Nome Famiglia,Nome Tipo,ID Elemento,Verifica,Stato
Condotto flessibile,Condotto flessibile circolare,IM_CND_CIR_All_Flessibile,1506693,Corretto,1
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1506696,IFC CLASS e IFC PREDEF TYPE errati,0
Bocchettoni,IM_DIS_BOC_Diffusore lineare,Lenght 2000mm,1508252,Corretto,1
Condotto,Condotto rettangolare,IM_CND_RET_All_PAL,1508253,Corretto,1
Raccordi condotto,IM_COL_RET_Lzi_T,Default,1508254,Corretto,1
Condotto,Condotto rettangolare,IM_CND_RET_All_PAL,1508255,Corretto,1
Condotto,Condotto rettangolare,IM_CND_RET_All_PAL,1508256,Corretto,1
Condotto,Condotto rettangolare,IM_CND_RET_All_PAL,1508260,Corretto,1
Raccordi condotto,IM_COL_RET_Lzi_Calotta chiusura,20 cm,1508263,Corretto,1
Raccordi condotto,IM_COL_RET_Lzi_Calotta chiusura,20 cm,1508264,Corretto,1
Condotto flessibile,Condotto flessibile circolare,IM_CND_CIR_All_Flessibile,1508271,Corretto,1
Condotto flessibile,Condotto flessibile circolare,IM_CND_CIR_All_Flessibile,1508273,Corretto,1
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1508275,IFC CLASS e IFC PREDEF TYPE errati,0
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1508276,IFC CLASS e IFC PREDEF TYPE errati,0
Bocchettoni,IM_DIS_BOC_Diffusore lineare,Lenght 2000mm,1508277,Corretto,1
Condotto,Condotto rettangolare,IM_CND_RET_All_PAL,1508278,Corretto,1
Condotto,Condotto rettangolare,IM_CND_RET_All_PAL,1508282,Corretto,1
Condotto flessibile,Condotto flessibile circolare,IM_CND_CIR_All_Flessibile,1508285,Corretto,1
Condotto flessibile,Condotto flessibile circolare,IM_CND_CIR_All_Flessibile,1508287,Corretto,1
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1508289,IFC CLASS e IFC PREDEF TYPE errati,0
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1508290,IFC CLASS e IFC PREDEF TYPE errati,0
Bocchettoni,IM_DIS_BOC_Diffusore lineare,Lenght 2000mm,1508291,Corretto,1
Condotto,Condotto rettangolare,IM_CND_RET_All_PAL,1508292,Corretto,1
Condotto,Condotto rettangolare,IM_CND_RET_All_PAL,1508293,Corretto,1
Condotto flessibile,Condotto flessibile circolare,IM_CND_CIR_All_Flessibile,1508294,Corretto,1
Condotto flessibile,Condotto flessibile circolare,IM_CND_CIR_All_Flessibile,1508296,Corretto,1
