Categoria,Nome Famiglia,Nome Tipo,ID Elemento,IFC Class,Stato
OST_CableTrayFitting,IE_TRA_RIG_Azc_Perforated_Bend_Horizontal,Standard,7453787,IfcCableCarrierFitting,1
OST_CableTray,Passerella con raccordi,IE_PAS_Azc_CTP02_Perforated_SGS_Cov,7453983,IfcCableCarrierSegment,1
OST_CableTray,Passerella con raccordi,IE_PAS_Azc_CTP02_Perforated_SGS_Cov,7453987,IfcCableCarrierSegment,1
OST_CableTrayFitting,IE_TRA_RIG_Azc_Perforated_Bend_Horizontal,Standard,7453995,IfcCableCarrierFitting,1
OST_CableTray,Passerella con raccordi,IE_PAS_Azc_CTP02_Perforated_SGS_Cov,7453996,IfcCableCarrierSegment,1
OST_CableTrayFitting,IE_TRA_RIG_Azc_Perforated_Bend_Horizontal,Standard,7454000,IfcCableCarrierFitting,1
OST_CableTray,Passerella con raccordi,IE_PAS_Azc_CTP02_Perforated_SGS_Cov,7454024,IfcCableCarrierSegment,1
OST_CableTray,Passerella con raccordi,IE_PAS_Azc_CTP02_Perforated_SGS_Cov,7454032,IfcCableCarrierSegment,1
OST_CableTrayFitting,IE_TRA_RIG_Azc_Perforated_Bend_Horizontal,Standard,7454042,IfcCableCarrierFitting,1
OST_CableTray,Passerella con raccordi,IE_PAS_Azc_CTP02_Perforated_SGS_Cov,7454043,IfcCableCarrierSegment,1
OST_CableTrayFitting,IE_TRA_RIG_Azc_Perforated_Bend_Horizontal,Standard,7454047,IfcCableCarrierFitting,1
OST_CableTray,Passerella con raccordi,IE_PAS_Azc_CTP02_Perforated_SGS_Cov,7454225,IfcCableCarrierSegment,1
OST_CableTrayFitting,IE_TRA_RIG_Azc_Perforated_Bend_Vertical Inside,Standard,7454233,IfcCableCarrierFitting,1
OST_CableTray,Passerella con raccordi,IE_PAS_Azc_CTP02_Perforated_SGS_Cov,7454237,IfcCableCarrierSegment,1
OST_CableTrayFitting,IE_TRA_RIG_Azc_Perforated_Bend_Vertical Outside,Standard,7454243,IfcCableCarrierFitting,1
OST_CableTray,Passerella con raccordi,IE_PAS_Azc_CTP02_Perforated_SGS_Cov,7454247,IfcCableCarrierSegment,1
OST_CableTrayFitting,IE_TRA_RIG_Azc_Perforated_Bend_Vertical Outside,Standard,7454257,IfcCableCarrierFitting,1
OST_CableTray,Passerella con raccordi,IE_PAS_Azc_CTP02_Perforated_SGS_Cov,7454261,IfcCableCarrierSegment,1
OST_CableTrayFitting,IE_TRA_TEE_Azc_Perforated_Tee_Horizontal,Radius_300_mm,7454289,IfcCableCarrierFitting,1
OST_CableTray,Passerella con raccordi,IE_PAS_Azc_CTP02_Perforated_SGS_Cov,7454290,IfcCableCarrierSegment,1
OST_CableTrayFitting,IE_TRA_RIG_Azc_Perforated_Bend_Vertical Inside,Standard,7454297,IfcCableCarrierFitting,1
OST_CableTray,Passerella con raccordi,IE_PAS_Azc_CTP02_Perforated_SGS_Cov,7454319,IfcCableCarrierSegment,1
OST_CableTrayFitting,IE_TRA_RIG_Azc_Perforated_Bend_Vertical Inside,Standard,7454327,IfcCableCarrierFitting,1
OST_CableTray,Passerella con raccordi,IE_PAS_Azc_CTP02_Perforated_SGS_Cov,7454331,IfcCableCarrierSegment,1
OST_CableTrayFitting,IE_TRA_RIG_Azc_Perforated_Bend_Vertical Outside,Standard,7454339,IfcCableCarrierFitting,1
OST_CableTray,Passerella con raccordi,IE_PAS_Azc_CTP02_Perforated_SGS_Cov,7454343,IfcCableCarrierSegment,1
OST_CableTrayFitting,IE_TRA_RIG_Azc_Perforated_Bend_Vertical Outside,Standard,7454351,IfcCableCarrierFitting,1
OST_CableTray,Passerella con raccordi,IE_PAS_Azc_CTP02_Perforated_SGS_Cov,7454355,IfcCableCarrierSegment,1
OST_CableTrayFitting,IE_TRA_RIG_Azc_Perforated_Bend_Vertical Inside,Standard,7454361,IfcCableCarrierFitting,1
