Nome Elemento,ID Elemento,Verifica,Stato
Muro di base: AR_MUR_DIV_200_Generico,1093977,Room Bounding Attivato,1
Controsoffitto composto: AR_CON_CSO_150_Aree comuni,1094789,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,1095107,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,1095184,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,1095689,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,1095763,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,1096373,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,1096425,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,1096474,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,1096518,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,1096560,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,1096591,Room Bounding Attivato,1
Pavimento: AR_PAV_GET_120_MS.03_Lin,1096776,Room Bounding Disattivato,0
Muro di base: AR_MUR_DIV_200_Generico,1098798,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,1100269,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_100_Generico,1100781,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_100_Generico,1101146,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,1102140,Room Bounding Attivato,1
Controsoffitto composto: AR_CON_CSO_150_Aree comuni,1140666,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,1141065,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,1141360,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,1142795,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,1143629,Room Bounding Attivato,1
Controsoffitto composto: AR_CON_CSO_150_Aree comuni,1150449,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,1151173,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,1151407,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,1155573,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,1190432,Room Bounding Attivato,1
