Quantità,Nome della famiglia e del Tipo,IFC Element,ID,Valori Parametri,Verifica,Stato
1,AR_POR_BAT_Acc_1A_BarrieraPortaVetrata:AR_POR_BAT_Acc_1A_BarrieraPortaVetrata_h180:4671787,,4671787,A17.025.045.c,Corretta,1
1,AR_POR_BAT_Acc_1A_BarrieraPortaVetrata:AR_POR_BAT_Acc_1A_BarrieraPortaVetrata_h180:4671788,,4671788,A17.025.045.c,Corretta,1
1,AR_POR_BAT_Acc_1A_BarrieraPortaVetrata:AR_POR_BAT_Acc_1A_BarrieraPortaVetrata_h180:4671789,,4671789,A17.025.045.c,Corretta,1
1,AR_POR_BAT_Acc_1A_BarrieraPortaVetrata:AR_POR_BAT_Acc_1A_BarrieraPortaVetrata_h180:4671790,,4671790,A17.025.045.c,Corretta,1
1,AR_POR_BAT_Acc_2A_BarrieraPortaVetrata:AR_POR_BAT_Acc_2A_BarrieraPortaVetrata_h180:4671791,,4671791,ND,Corretta,1
1,AR_POR_BAT_Vet_2A_PorteFaraone:AR_POR_BAT_Vet_2A_2240x1556:4677263,,4677263,A17.025.050.a,Corretta,1
1,AR_POR_BAT_Vet_2A_PorteFaraone:AR_POR_BAT_Vet_2A_Porte01:4677238,,4677238,A17.025.050.a,Corretta,1
1,AR_POR_BAT_Acc_2A_BarrieraPortaVetrata:AR_POR_BAT_Acc_2A_BarrieraPortaVetrata_h180:4677299,,4677299,ND,Corretta,1
1,AR_POR_BAT_Acc_1A_BarrieraPortaVetrata:AR_POR_BAT_Acc_1A_BarrieraPortaVetrata_h180:4677300,,4677300,A17.025.045.c,Corretta,1
1,AR_POR_BAT_Acc_1A_BarrieraPortaVetrata:AR_POR_BAT_Acc_1A_BarrieraPortaVetrata_h180:4677301,,4677301,A17.025.045.c,Corretta,1
1,AR_POR_BAT_Acc_1A_BarrieraPortaVetrata:AR_POR_BAT_Acc_1A_BarrieraPortaVetrata_h180:4677302,,4677302,A17.025.045.c,Corretta,1
1,AR_POR_BAT_Acc_1A_BarrieraPortaVetrata:AR_POR_BAT_Acc_1A_BarrieraPortaVetrata_h180:4677303,,4677303,A17.025.045.c,Corretta,1
1,AR_POR_BAT_Acc_1A_BarrieraPortaVetrata:AR_POR_BAT_Acc_1A_BarrieraPortaVetrata_h180:4677304,,4677304,A17.025.045.c,Corretta,1
1,AR_POR_BAT_Acc_1A_BarrieraPortaVetrata:AR_POR_BAT_Acc_1A_BarrieraPortaVetrata_h180:4677305,,4677305,A17.025.045.c,Corretta,1
1,AR_POR_BAT_Acc_1A_BarrieraPortaVetrata:AR_POR_BAT_Acc_1A_BarrieraPortaVetrata_h180:4677306,,4677306,A17.025.045.c,Corretta,1
1,AR_POR_BAT_Acc_1A_BarrieraPortaVetrata:AR_POR_BAT_Acc_1A_BarrieraPortaVetrata_h180:4677307,,4677307,A17.025.045.c,Corretta,1
1,AR_POR_BAT_Acc_1A_BarrieraPortaVetrata:AR_POR_BAT_Acc_1A_BarrieraPortaVetrata_h180:4677308,,4677308,A17.025.045.c,Corretta,1
1,AR_POR_BAT_Acc_1A_BarrieraPortaVetrata:AR_POR_BAT_Acc_1A_BarrieraPortaVetrata_h180:4677309,,4677309,A17.025.045.c,Corretta,1
1,Montante rettangolare:AR_MON_RET_All_Montante01:4671381,,4671381,ND,Corretta,1
1,Montante rettangolare:AR_MON_RET_All_Montante01:4671382,,4671382,ND,Corretta,1
1,Montante rettangolare:AR_MON_RET_All_Montante01:4671383,,4671383,ND,Corretta,1
1,Montante rettangolare:AR_MON_RET_All_Montante01:4671386,,4671386,ND,Corretta,1
1,Montante rettangolare:AR_MON_RET_All_Montante01:4671395,,4671395,ND,Corretta,1
1,Montante rettangolare:AR_MON_RET_All_Montante01:4671396,,4671396,ND,Corretta,1
1,Montante rettangolare:AR_MON_RET_All_Montante01:4671439,,4671439,ND,Corretta,1
1,Montante rettangolare:AR_MON_RET_All_Montante01:4671405,,4671405,ND,Corretta,1
1,Montante rettangolare:AR_MON_RET_All_Montante01:4671406,,4671406,ND,Corretta,1
1,Montante rettangolare:AR_MON_RET_All_Montante01:4671438,,4671438,ND,Corretta,1
1,Montante rettangolare:AR_MON_RET_All_Montante01:4671415,,4671415,ND,Corretta,1
1,Montante rettangolare:AR_MON_RET_All_Montante01:4671416,,4671416,ND,Corretta,1
1,Montante rettangolare:AR_MON_RET_All_Montante01:4671417,,4671417,ND,Corretta,1
1,Montante rettangolare:AR_MON_RET_All_Montante01:4671424,,4671424,ND,Corretta,1
1,Montante rettangolare:AR_MON_RET_All_Montante01:4671425,,4671425,ND,Corretta,1
1,Montante rettangolare:AR_MON_RET_All_Montante01:4671426,,4671426,ND,Corretta,1
1,Montante rettangolare:AR_MON_RET_All_Montante01:4671431,,4671431,ND,Corretta,1
1,Montante rettangolare:AR_MON_RET_All_Montante01:4671434,,4671434,ND,Corretta,1
1,Montante rettangolare:AR_MON_RET_All_Montante01:4671437,,4671437,ND,Corretta,1
1,Montante rettangolare:AR_MON_RET_All_Montante01:4671442,,4671442,ND,Corretta,1
1,Montante rettangolare:AR_MON_RET_All_Montante01:4671445,,4671445,ND,Corretta,1
1,Montante rettangolare:AR_MON_RET_All_Montante01:4671448,,4671448,ND,Corretta,1
1,Montante rettangolare:AR_MON_RET_All_Montante01:4671456,,4671456,ND,Corretta,1
1,Montante rettangolare:AR_MON_RET_All_Montante01:4671457,,4671457,ND,Corretta,1
1,Montante rettangolare:AR_MON_RET_All_Montante01:4671458,,4671458,ND,Corretta,1
1,Montante rettangolare:AR_MON_RET_All_Montante01:4671461,,4671461,ND,Corretta,1
1,Montante rettangolare:AR_MON_RET_All_Montante01:4671470,,4671470,ND,Corretta,1
