Quantità,Nome della Famiglia e del Tipo,Valore Parametri,IFC Element,ID,Verifica,Stato
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,880794,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,880795,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,880796,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,880797,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,880798,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,880799,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,880800,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,880801,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,880824,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,880825,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,880826,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,880827,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,880828,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
1,INC_TelST_TS.AC_RettangolareQuadrataCava:RHS200x120x4,880829,,IfcBeam,Da compilare IDE_GEN_I_Wbs1,0
