1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolare:50X28,,720291,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,720403,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,720491,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,720563,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,720689,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,720771,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,720877,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,721008,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,721117,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,721205,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,735158,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,735304,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,735394,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,735435,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,735478,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,735479,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,735590,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,735601,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,735614,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,735626,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x50,,735868,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x78,,736099,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolare:50X28,,736149,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolare:50X28,,736257,0
1,9nnn_J.002_028_PE_ST_M3_04_00,INC_TelST_TS.CA_FondazioneRettangolareMagrone:50x78,,736455,0
