Nome Famiglia - Tipo,Ifc Class,GUID,Element ID,Verifica,Stato
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASxC,705412,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASxD,705413,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASxE,705414,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASxF,705415,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASxQ,705426,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASxR,705427,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASxS,705428,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASxT,705429,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASxM,705438,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASxN,705439,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASxe,705440,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASxf,705441,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASxY,705450,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASxZ,705451,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASxa,705452,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASxb,705453,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASx_,705462,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASx$,705463,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASxm,705464,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASxn,705465,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASwd,705519,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASwu,705520,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASwv,705521,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASww,705522,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASwr,705533,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASws,705534,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASwt,705535,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASb8,705536,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASb1,705545,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASb2,705546,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASb3,705547,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASb4,705548,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASbT,705557,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASbU,705558,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASbV,705559,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASbG,705560,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASbf,705569,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASbg,705570,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASbh,705571,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASbi,705572,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASbb,705581,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASbc,705582,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASbd,705583,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASbu,705584,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASbn,705593,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASbo,705594,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASbp,705595,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASbq,705596,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASaF,705607,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASa0,705608,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASa1,705609,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASa2,705610,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASaR,705619,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASaS,705620,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASaT,705621,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASaU,705622,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASax,705651,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASay,705652,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASaz,705653,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASa_,705654,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASat,705663,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASd8,705664,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASd9,705665,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASdA,705666,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASd5,705677,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASd6,705678,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASd7,705679,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASdO,705680,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASdH,705689,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASdI,705690,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASdJ,705691,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASdK,705692,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASdj,705701,Nessuna regola per la classe IFC: IfcPile,0
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASdk,705702,Nessuna regola per la classe IFC: IfcPile,0
