GUID,ID,Tipo,Livello,Famiglia,Stato
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b8102,753922,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b8103,753923,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b8126,753958,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b8127,753959,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b8128,753960,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b8129,753961,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b8648,755272,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b864a,755274,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b864d,755277,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b8659,755289,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
