Quantità,Nome della Famiglia e del Tipo,Valore Parametri,IFC Element,ID,Verifica,Stato
28,Muro di base:AR_MUR_RIV_300mm_R.12,J.002,IfcWall,,Corretta,1
1,Muro di base:AR_MUR_RIV_20mm_R.09,J.002,IfcWall,,Corretta,1
7,Muro di base:AR_MUR_RIV_22mm_R.05,J.002,IfcWall,,Corretta,1
209,Muro di base:AR_MUR_DIV_100mm_MI.24,J.002,IfcWall,,Corretta,1
84,Muro di base:AR_MUR_DIV_100mm_MI.21,J.002,IfcWall,,Corretta,1
7,Muro di base:AR_MUR_DIV_100mm_MI.22,J.002,IfcWall,,Corretta,1
41,Muro di base:AR_MUR_DIV_100mm_MI.25,J.002,IfcWall,,Corretta,1
24,Muro di base:AR_MUR_RIV_50mm_R.11,J.002,IfcWall,,Corretta,1
21,Muro di base:AR_MUR_RIV_200mm_R.01,J.002,IfcWall,,Corretta,1
3,Muro di base:AR_MUR_DIV_100mm_MI.26,J.002,IfcWall,,Corretta,1
50,IM_DIS_AID_SAN_WC:IM_DIS_AID_SAN_WC,J.002,IfcSanitaryTerminal,,Corretta,1
9,IM_DIS_AID_SAN_LavaboTriplo:IM_DIS_AID_SAN_LavaboTriplo_460x2100,J.002,IfcSanitaryTerminal,,Corretta,1
6,IM_DIS_AID_SAN_LavaboSingolo:IM_DIS_AID_SAN_LavaboSingolo_460x700,J.002,IfcSanitaryTerminal,,Corretta,1
8,IM_DIS_AID_SAN_Orinatoio:IM_DIS_AID_SAN_Orinatoio,J.002,IfcSanitaryTerminal,,Corretta,1
3,IM_DIS_AID_SAN_WCBaby:IM_DIS_AID_SAN_WCBaby,J.002,IfcSanitaryTerminal,,Corretta,1
3,IM_DIS_AID_SAN_LavaboFasciatoio:IM_DIS_AID_SAN_LavaboFasciatoio_460x1650,J.002,IfcSanitaryTerminal,,Corretta,1
11,IM_DIS_AID_SAN_WCDisabili:IM_DIS_AID_SAN_WCDisabili,J.002,IfcSanitaryTerminal,,Corretta,1
2,IM_DIS_AID_SAN_LavaboDoppio:IM_DIS_AID_SAN_LavaboDoppio_460x1400,J.002,IfcSanitaryTerminal,,Corretta,1
11,IM_DIS_AID_SAN_LavaboDisabili:IM_DIS_AID_SAN_LavaboDisabili_570x660,J.002,IfcSanitaryTerminal,,Corretta,1
17,IM_DIS_AID_SAN_LavaboCleaning:IM_DIS_AID_SAN_LavaboCleaning_500x500,J.002,IfcSanitaryTerminal,,Corretta,1
4,IM_DIS_AID_SAN_Doccia:IM_DIS_AID_SAN_Doccia,J.002,IfcSanitaryTerminal,,Corretta,1
1,IM_DIS_AID_SAN_Bidet:IM_DIS_AID_SAN_Bidet,J.002,IfcSanitaryTerminal,,Corretta,1
282,,J.002,IfcOpeningElement,,Corretta,1
24,AR_ARR_ARR_BoxWC:AR_ARR_ARR_BoxWC,J.002,IfcFurniture,,Corretta,1
24,AR_ARR_ARR_divisoriobox:AR_ARR_ARR_DivisorioBox,J.002,IfcFurniture,,Corretta,1
39,AR_ARR_ARR_ModuloWc:AR_ARR_ARR_ModuloWc_Pax,J.002,IfcFurniture,,Corretta,1
39,AR_ARR_ARR_GancioAppendino:AR_ARR_ARR_GancioAppendino,J.002,IfcFurniture,,Corretta,1
39,AR_ARR_ARR_PortaRotolo:AR_ARR_ARR_PortaRotolo,J.002,IfcFurniture,,Corretta,1
39,AR_ARR_ARR_Scopino:AR_ARR_ARR_Scopino,J.002,IfcFurniture,,Corretta,1
13,AR_ARR_ARR_BoxWc_Laterale:AR_ARR_ARR_BoxWC_Laterale,J.002,IfcFurniture,,Corretta,1
13,AR_ARR_ARR_Divisoriobox_Laterale:AR_ARR_ARR_divisoriobox_laterale,J.002,IfcFurniture,,Corretta,1
22,AR_ARR_ARR_ManiglioniDisabili:AR_ARR_ARR_ManiglioniDisabili_1000x150,J.002,IfcFurniture,,Corretta,1
