GUID,ID,Categoria,Famiglia e Tipo,Stato
ce8594ff-2f9a-4b7b-9b8b-e9e2ad8c236c-00125361,1203456,Arredi fissi,AR_CON_CCG_LucernaioPiazza: AR_CON_CCG_LucernaioPiazza,1
ce8594ff-2f9a-4b7b-9b8b-e9e2ad8c236c-00125369,1203457,Arredi fissi,AR_CON_CCG_LucernaioPiazza: AR_CON_CCG_LucernaioPiazza,1
ce8594ff-2f9a-4b7b-9b8b-e9e2ad8c236c-00125371,1203458,Arredi fissi,AR_CON_CCG_LucernaioPiazza: AR_CON_CCG_LucernaioPiazza,1
ce8594ff-2f9a-4b7b-9b8b-e9e2ad8c236c-00125379,1203459,Arredi fissi,AR_CON_CCG_LucernaioPiazza: AR_CON_CCG_LucernaioPiazza,1
ce8594ff-2f9a-4b7b-9b8b-e9e2ad8c236c-00125383,1203460,Arredi fissi,AR_CON_CCG_LucernaioPiazza: AR_CON_CCG_LucernaioPiazza,1
ce8594ff-2f9a-4b7b-9b8b-e9e2ad8c236c-0012538d,1203461,Arredi fissi,AR_CON_CCG_LucernaioPiazza: AR_CON_CCG_LucernaioPiazza,1
ce8594ff-2f9a-4b7b-9b8b-e9e2ad8c236c-00125397,1203462,Arredi fissi,AR_CON_CCG_LucernaioPiazza: AR_CON_CCG_LucernaioPiazza,1
ce8594ff-2f9a-4b7b-9b8b-e9e2ad8c236c-001253a3,1203463,Arredi fissi,AR_CON_CCG_LucernaioPiazza: AR_CON_CCG_LucernaioPiazza,1
ce8594ff-2f9a-4b7b-9b8b-e9e2ad8c236c-001253ad,1203464,Arredi fissi,AR_CON_CCG_LucernaioPiazza: AR_CON_CCG_LucernaioPiazza,1
ce8594ff-2f9a-4b7b-9b8b-e9e2ad8c236c-001253b5,1203465,Arredi fissi,AR_CON_CCG_LucernaioPiazza: AR_CON_CCG_LucernaioPiazza,1
ce8594ff-2f9a-4b7b-9b8b-e9e2ad8c236c-001253c1,1203466,Arredi fissi,AR_CON_CCG_LucernaioPiazza: AR_CON_CCG_LucernaioPiazza,1
ce8594ff-2f9a-4b7b-9b8b-e9e2ad8c236c-001253cb,1203467,Arredi fissi,AR_CON_CCG_LucernaioPiazza: AR_CON_CCG_LucernaioPiazza,1
ce8594ff-2f9a-4b7b-9b8b-e9e2ad8c236c-001253d5,1203468,Arredi fissi,AR_CON_CCG_LucernaioPiazza: AR_CON_CCG_LucernaioPiazza,1
ce8594ff-2f9a-4b7b-9b8b-e9e2ad8c236c-001253df,1203469,Arredi fissi,AR_CON_CCG_LucernaioPiazza: AR_CON_CCG_LucernaioPiazza,1
ce8594ff-2f9a-4b7b-9b8b-e9e2ad8c236c-001253eb,1203470,Arredi fissi,AR_CON_CCG_LucernaioPiazza: AR_CON_CCG_LucernaioPiazza,1
ce8594ff-2f9a-4b7b-9b8b-e9e2ad8c236c-001253f5,1203471,Arredi fissi,AR_CON_CCG_LucernaioPiazza: AR_CON_CCG_LucernaioPiazza,1
ce8594ff-2f9a-4b7b-9b8b-e9e2ad8c236c-001253fd,1203472,Arredi fissi,AR_CON_CCG_LucernaioPiazza: AR_CON_CCG_LucernaioPiazza,1
ce8594ff-2f9a-4b7b-9b8b-e9e2ad8c236c-00125405,1203473,Arredi fissi,AR_CON_CCG_LucernaioPiazza: AR_CON_CCG_LucernaioPiazza,1
ce8594ff-2f9a-4b7b-9b8b-e9e2ad8c236c-0012540f,1203474,Arredi fissi,AR_CON_CCG_LucernaioPiazza: AR_CON_CCG_LucernaioPiazza,1
ce8594ff-2f9a-4b7b-9b8b-e9e2ad8c236c-00125417,1203475,Arredi fissi,AR_CON_CCG_LucernaioPiazza: AR_CON_CCG_LucernaioPiazza,1
7840e1d3-e420-4529-89f3-f2497bd0bb6a-00126c2c,1212235,Arredi fissi,AR_CON_CCG_VelettaPiazza: AR_CON_CCG_VelettaPiazza,1
7840e1d3-e420-4529-89f3-f2497bd0bb6a-00127ea5,1215824,Arredi fissi,AR_CON_CCG_VelettaPiazza: AR_CON_CCG_VelettaPiazza,1
7840e1d3-e420-4529-89f3-f2497bd0bb6a-00127f0e,1215827,Arredi fissi,AR_CON_CCG_VelettaPiazza: AR_CON_CCG_VelettaPiazza,1
7840e1d3-e420-4529-89f3-f2497bd0bb6a-00127fc9,1215831,Arredi fissi,AR_CON_CCG_VelettaPiazza: AR_CON_CCG_VelettaPiazza,1
7840e1d3-e420-4529-89f3-f2497bd0bb6a-001280b0,1215835,Arredi fissi,AR_CON_CCG_VelettaPiazza: AR_CON_CCG_VelettaPiazza,1
1f10491b-ecbb-4242-8dba-b193f968b6f7-000ba81b,763931,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
787ae83e-967b-4a11-af5e-2a61edbc3871-000d483c,870460,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
787ae83e-967b-4a11-af5e-2a61edbc3871-000d4844,870468,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
787ae83e-967b-4a11-af5e-2a61edbc3871-000d484c,870476,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
787ae83e-967b-4a11-af5e-2a61edbc3871-000d4860,870496,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
787ae83e-967b-4a11-af5e-2a61edbc3871-000d4868,870504,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
787ae83e-967b-4a11-af5e-2a61edbc3871-000d4870,870512,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
787ae83e-967b-4a11-af5e-2a61edbc3871-000d487b,870523,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
787ae83e-967b-4a11-af5e-2a61edbc3871-000d4883,870531,Controsoffitti,Controsoffitto composto: AR_CON_CSO_150_Uffici,1
787ae83e-967b-4a11-af5e-2a61edbc3871-000d48c3,870595,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
787ae83e-967b-4a11-af5e-2a61edbc3871-000d48cf,870607,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
787ae83e-967b-4a11-af5e-2a61edbc3871-000d48dd,870621,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
787ae83e-967b-4a11-af5e-2a61edbc3871-000d48e5,870629,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
787ae83e-967b-4a11-af5e-2a61edbc3871-000d48ee,870638,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
787ae83e-967b-4a11-af5e-2a61edbc3871-000d493b,870715,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
787ae83e-967b-4a11-af5e-2a61edbc3871-000d4943,870723,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
787ae83e-967b-4a11-af5e-2a61edbc3871-000d4996,870806,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
787ae83e-967b-4a11-af5e-2a61edbc3871-000d49a2,870818,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
787ae83e-967b-4a11-af5e-2a61edbc3871-000d5062,872546,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
787ae83e-967b-4a11-af5e-2a61edbc3871-000d506a,872554,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
787ae83e-967b-4a11-af5e-2a61edbc3871-000d5072,872562,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
787ae83e-967b-4a11-af5e-2a61edbc3871-000d507a,872570,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
787ae83e-967b-4a11-af5e-2a61edbc3871-000d5082,872578,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
787ae83e-967b-4a11-af5e-2a61edbc3871-000d508e,872590,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
787ae83e-967b-4a11-af5e-2a61edbc3871-000d5379,873337,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
787ae83e-967b-4a11-af5e-2a61edbc3871-000d5543,873795,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
