Nome Elemento,Ifc Class,GUID IFC,GUID Nativo,Tag IFC,Element Id Nativo,Verifica,Stato
Tubazione - IM_TUB_Pvc_SILENZIATO,IfcPipeSegment,1ejeqeTfj4aAB8_tWzG2Pl,1ejeqeTfj4aAB8_tWzG2Pl,1900625,1900625,Corretto,1
Tubazione - IM_TUB_Pvc_SILENZIATO,IfcPipeSegment,1ejeqeTfj4aAB8_tWzG2Pj,1ejeqeTfj4aAB8_tWzG2Pj,1900627,1900627,Corretto,1
Tubazione - IM_TUB_Pvc_SILENZIATO,IfcPipeSegment,1ejeqeTfj4aAB8_tWzG2Ph,1ejeqeTfj4aAB8_tWzG2Ph,1900629,1900629,Corretto,1
Tubazione - IM_TUB_Pvc_SILENZIATO,IfcPipeSegment,1ejeqeTfj4aAB8_tWzG2PU,1ejeqeTfj4aAB8_tWzG2PU,1900640,1900640,Corretto,1
Tubazione - IM_TUB_Pvc_SILENZIATO,IfcPipeSegment,1ejeqeTfj4aAB8_tWzG2PJ,1ejeqeTfj4aAB8_tWzG2PJ,1900653,1900653,Corretto,1
Tubazione - IM_TUB_Pvc_SILENZIATO,IfcPipeSegment,1ejeqeTfj4aAB8_tWzG2PH,1ejeqeTfj4aAB8_tWzG2PH,1900655,1900655,Corretto,1
Tubazione - IM_TUB_Pvc_SILENZIATO,IfcPipeSegment,2wPkR62MLBNO5YjsHnKAWO,2wPkR62MLBNO5YjsHnKAWO,1901709,1901709,Corretto,1
Tubazione - IM_TUB_Mlt_Distribuzione,IfcPipeSegment,2RDk4OAG92TPg1JBX77igD,2RDk4OAG92TPg1JBX77igD,1902363,1902363,Corretto,1
Tubazione - IM_TUB_Mlt_Distribuzione,IfcPipeSegment,2RDk4OAG92TPg1JBX77igm,2RDk4OAG92TPg1JBX77igm,1902374,1902374,Corretto,1
Tubazione - IM_TUB_Mlt_Distribuzione,IfcPipeSegment,2RDk4OAG92TPg1JBX77ieQ,2RDk4OAG92TPg1JBX77ieQ,1902476,1902476,Corretto,1
Tubazione - IM_TUB_Mlt_Distribuzione,IfcPipeSegment,2RDk4OAG92TPg1JBX77ifU,2RDk4OAG92TPg1JBX77ifU,1902536,1902536,Corretto,1
Tubazione - IM_TUB_Mlt_Distribuzione,IfcPipeSegment,2RDk4OAG92TPg1JBX77iNR,2RDk4OAG92TPg1JBX77iNR,1902669,1902669,Corretto,1
Tubazione - IM_TUB_Mlt_Distribuzione,IfcPipeSegment,2RDk4OAG92TPg1JBX77iNP,2RDk4OAG92TPg1JBX77iNP,1902671,1902671,Corretto,1
Tubazione - IM_TUB_Mlt_Distribuzione,IfcPipeSegment,2RDk4OAG92TPg1JBX77iN7,2RDk4OAG92TPg1JBX77iN7,1902673,1902673,Corretto,1
Tubazione - IM_TUB_Mlt_Distribuzione,IfcPipeSegment,2RDk4OAG92TPg1JBX77iK9,2RDk4OAG92TPg1JBX77iK9,1902751,1902751,Corretto,1
Tubazione - IM_TUB_Mlt_Distribuzione,IfcPipeSegment,2RDk4OAG92TPg1JBX77iLI,2RDk4OAG92TPg1JBX77iLI,1902788,1902788,Corretto,1
Tubazione - IM_TUB_Mlt_Distribuzione,IfcPipeSegment,2RDk4OAG92TPg1JBX77iLO,2RDk4OAG92TPg1JBX77iLO,1902798,1902798,Corretto,1
Tubazione - IM_TUB_Mlt_Distribuzione,IfcPipeSegment,2RDk4OAG92TPg1JBX77iIH,2RDk4OAG92TPg1JBX77iIH,1902855,1902855,Corretto,1
Tubazione - IM_TUB_Mlt_Distribuzione,IfcPipeSegment,2RDk4OAG92TPg1JBX77iI$,2RDk4OAG92TPg1JBX77iI$,1902889,1902889,Corretto,1
Tubazione - IM_TUB_Mlt_Distribuzione,IfcPipeSegment,2RDk4OAG92TPg1JBX77iIz,2RDk4OAG92TPg1JBX77iIz,1902891,1902891,Corretto,1
Tubazione - IM_TUB_Mlt_Distribuzione,IfcPipeSegment,2RDk4OAG92TPg1JBX77iIl,2RDk4OAG92TPg1JBX77iIl,1902905,1902905,Corretto,1
Tubazione - IM_TUB_Mlt_Distribuzione,IfcPipeSegment,2RDk4OAG92TPg1JBX77iIj,2RDk4OAG92TPg1JBX77iIj,1902907,1902907,Corretto,1
Tubazione - IM_TUB_Mlt_Distribuzione,IfcPipeSegment,2RDk4OAG92TPg1JBX77iJg,2RDk4OAG92TPg1JBX77iJg,1902972,1902972,Corretto,1
Tubazione - IM_TUB_Mlt_Distribuzione,IfcPipeSegment,2RDk4OAG92TPg1JBX77iG8,2RDk4OAG92TPg1JBX77iG8,1903006,1903006,Corretto,1
Tubazione - IM_TUB_Mlt_Distribuzione,IfcPipeSegment,2RDk4OAG92TPg1JBX77iU6,2RDk4OAG92TPg1JBX77iU6,1903120,1903120,Corretto,1
Tubazione - IM_TUB_Mlt_Distribuzione,IfcPipeSegment,2RDk4OAG92TPg1JBX77iU4,2RDk4OAG92TPg1JBX77iU4,1903122,1903122,Corretto,1
Tubazione - IM_TUB_Mlt_Distribuzione,IfcPipeSegment,2RDk4OAG92TPg1JBX77iU2,2RDk4OAG92TPg1JBX77iU2,1903124,1903124,Corretto,1
Tubazione - IM_TUB_Mlt_Distribuzione,IfcPipeSegment,2RDk4OAG92TPg1JBX77iU0,2RDk4OAG92TPg1JBX77iU0,1903126,1903126,Corretto,1
Tubazione - IM_TUB_Mlt_Distribuzione,IfcPipeSegment,2RDk4OAG92TPg1JBX77iU8,2RDk4OAG92TPg1JBX77iU8,1903134,1903134,Corretto,1
Tubazione - IM_TUB_Mlt_Distribuzione,IfcPipeSegment,2RDk4OAG92TPg1JBX77iUs,2RDk4OAG92TPg1JBX77iUs,1903136,1903136,Corretto,1
Tubazione - IM_TUB_Mlt_Distribuzione,IfcPipeSegment,2RDk4OAG92TPg1JBX77iUq,2RDk4OAG92TPg1JBX77iUq,1903138,1903138,Corretto,1
Tubazione - IM_TUB_Mlt_Distribuzione,IfcPipeSegment,2RDk4OAG92TPg1JBX77iUy,2RDk4OAG92TPg1JBX77iUy,1903146,1903146,Corretto,1
Tubazione - IM_TUB_Mlt_Distribuzione,IfcPipeSegment,2RDk4OAG92TPg1JBX77iUw,2RDk4OAG92TPg1JBX77iUw,1903148,1903148,Corretto,1
Tubazione - IM_TUB_Mlt_Distribuzione,IfcPipeSegment,2RDk4OAG92TPg1JBX77iUu,2RDk4OAG92TPg1JBX77iUu,1903150,1903150,Corretto,1
Tubazione - IM_TUB_Mlt_Distribuzione,IfcPipeSegment,2RDk4OAG92TPg1JBX77iUc,2RDk4OAG92TPg1JBX77iUc,1903152,1903152,Corretto,1
Tubazione - IM_TUB_Mlt_Distribuzione,IfcPipeSegment,2RDk4OAG92TPg1JBX77iUW,2RDk4OAG92TPg1JBX77iUW,1903158,1903158,Corretto,1
Tubazione - IM_TUB_Mlt_Distribuzione,IfcPipeSegment,2RDk4OAG92TPg1JBX77iUk,2RDk4OAG92TPg1JBX77iUk,1903160,1903160,Corretto,1
