Categoria,Nome Famiglia,Nome Tipo,ID Elemento,Fase,Verifica,Stato
Raccordi passerella,Channel Horizontal Bend,Standard,4392751,J002_SDP,Fase corretta,1
Raccordi passerella,Channel Horizontal Bend,Standard,4392876,J002_SDP,Fase corretta,1
Raccordi passerella,Channel Horizontal Bend,Standard,4392877,J002_SDP,Fase corretta,1
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4399417,J002_SDP,Fase corretta,1
Raccordi passerella,Channel Horizontal Bend,Standard,4399427,J002_SDP,Fase corretta,1
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4399457,J002_SDP,Fase corretta,1
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4399465,J002_SDP,Fase corretta,1
Raccordi passerella,Channel Horizontal Bend,Standard,4399471,J002_SDP,Fase corretta,1
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4399472,J002_SDP,Fase corretta,1
Raccordi passerella,Channel Horizontal Bend,Standard,4399478,J002_SDP,Fase corretta,1
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4399479,J002_SDP,Fase corretta,1
Raccordi passerella,Channel Horizontal Bend,Standard,4399489,J002_SDP,Fase corretta,1
Passerelle,Passerella con raccordi,Solid Bottom Cable Tray,4399506,J002_SDP,Fase corretta,1
Raccordi passerella,Channel Horizontal Tee,"12"" Radius",4399512,J002_SDP,Fase corretta,1
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4399533,J002_SDP,Fase corretta,1
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4399539,J002_SDP,Fase corretta,1
Raccordi passerella,Channel Horizontal Bend,Standard,4399545,J002_SDP,Fase corretta,1
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4399546,J002_SDP,Fase corretta,1
Raccordi passerella,Channel Horizontal Bend,Standard,4399552,J002_SDP,Fase corretta,1
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4399553,J002_SDP,Fase corretta,1
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4399625,J002_SDP,Fase corretta,1
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4399639,J002_SDP,Fase corretta,1
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4399647,J002_SDP,Fase corretta,1
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4399663,J002_SDP,Fase corretta,1
Passerelle,Passerella con raccordi,Solid Bottom Cable Tray,4400802,J002_SDP,Fase corretta,1
Apparecchi elettrici,EL_EE_EF_PowerFactorCorrection,EL_EE_RIF-F 20KVAR,4401091,J002_SDP,Fase corretta,1
Apparecchi elettrici,EL_EE_EF_PowerFactorCorrection,EL_EE_RIF-F 20KVAR,4404277,J002_SDP,Fase corretta,1
Apparecchi elettrici,EL_EE_EF_PowerFactorCorrection,EL_EE_RIF-F 20KVAR,4404285,J002_SDP,Fase corretta,1
Apparecchi elettrici,EL_EE_EF_PowerFactorCorrection,EL_EE_RIF-A 50KVAR,4404640,J002_SDP,Fase corretta,1
Attrezzatura elettrica,Gruppo Elettrogeno,Gruppo Elettrogeno  1800kVA,4404728,J002_SDP,Fase corretta,1
Attrezzatura elettrica,Gruppo Elettrogeno,Gruppo Elettrogeno  560kVA,4404758,J002_SDP,Fase corretta,1
Attrezzatura elettrica,Gruppo Elettrogeno,Gruppo Elettrogeno  1800kVA,4404786,J002_SDP,Fase corretta,1
