Nome Materiale,ID Elemento,Verifica,Stato
"Alluminio, Rosso anodizzato",853051,Codice non trovato nel database,0
Materiale per il rendering 0-165-82,853054,Codice non trovato nel database,0
Materiale per il rendering 255-0-127,853055,Codice non trovato nel database,0
CLEARANCE,853056,Codice non trovato nel database,0
Glas unsichtbar,853057,Codice non trovato nel database,0
Materiale per il rendering 63-127-63,853059,Codice non trovato nel database,0
Color RGB 255-255-255,853062,Codice non trovato nel database,0
Color RAL 3020,853063,Codice non trovato nel database,0
Color RGB 020-020-020,853064,Codice non trovato nel database,0
Vetro Rosso,853066,Codice non trovato nel database,0
Vetro Verde),853067,Codice non trovato nel database,0
Plastic - Urmet Plastic - RAL9003 - Gloss,853084,Codice non trovato nel database,0
Screen - Urmet Screen - Mat,853086,Codice non trovato nel database,0
Materiale __RGBA_1.000_1.000_1.000,853087,Numero campi errato,0
Materiale __RGBA_1.000_1.000_1.000,853087,Codice non trovato nel database,0
Materiale __RGBA_0.695_0.743_0.790,853088,Numero campi errato,0
Materiale __RGBA_0.695_0.743_0.790,853088,Codice non trovato nel database,0
Plastic - Vivotek - White,853102,Codice non trovato nel database,0
Glass - Vivotel - Clear,853103,Codice non trovato nel database,0
Rete,853106,Codice non trovato nel database,0
"Resina acetalica, Bianco",853107,Codice non trovato nel database,0
Ferro ROSSO,853113,Codice non trovato nel database,0
"Ferro, Fuso",853114,Codice non trovato nel database,0
Alluminio 5052-H38,853209,Codice non trovato nel database,0
"Ferro, Ghisa grigia ASTM A48 Grado 20",853213,Codice non trovato nel database,0
"Hilti - Steel, Galvanized",853214,Codice non trovato nel database,0
Aluminum - Lumos Solar - Black,853295,Codice non trovato nel database,0
Metal - Lumos Solar - Stainless Steel,853296,Codice non trovato nel database,0
Glass - Lumos Solar - Clear,853299,Codice non trovato nel database,0
Monocrystalline - Lumos Solar - Black,853304,Codice non trovato nel database,0
KPK - Lumos Solar - Black,853305,Codice non trovato nel database,0
TPT - Lumos Solar - Clear,853306,Codice non trovato nel database,0
TPO - Lumos Solar - Clear,853307,Codice non trovato nel database,0
Plasterboard,853388,Codice non trovato nel database,0
Ottone,853389,Codice non trovato nel database,0
MT_ClearanceZone,853469,Numero campi errato,0
MT_ClearanceZone,853469,Codice non trovato nel database,0
MT_Equipment,853470,Numero campi errato,0
MT_Equipment,853470,Codice non trovato nel database,0
Metal,853478,Codice non trovato nel database,0
Zona di rispetto,853479,Codice non trovato nel database,0
Vetro MT,853480,Codice non trovato nel database,0
Phase-Demo,853481,Codice non trovato nel database,0
Phase-Exist,853482,Codice non trovato nel database,0
Phase-Temp,853483,Codice non trovato nel database,0
Analytical Floor Surface,853484,Codice non trovato nel database,0
Analytical Slab Surface,853485,Codice non trovato nel database,0
Analytical Wall Surface,853486,Codice non trovato nel database,0
JMC Group - Acciaio - Acciaio inossidabile satinato,853510,Codice non trovato nel database,0
JMC Group - Acciaio - Blu Mediterraneo - RAL 5012,853512,Codice non trovato nel database,0
JMC Group - Acciaio - Blu Garda - RAL 5011,853514,Codice non trovato nel database,0
JMC Group - Acciaio - Nero Stromboli - RAL 9005,853516,Codice non trovato nel database,0
JMC Group - Acciaio - Grigio Dolomiti - RAL 7035,853518,Codice non trovato nel database,0
JMC Group - Acciaio - Bianco Carrara - RAL 9016,853520,Codice non trovato nel database,0
JMC Group - Plastic - Schermo 1,853522,Codice non trovato nel database,0
JMC Group - Plastica - Lettore NFC,853523,Codice non trovato nel database,0
White,853529,Codice non trovato nel database,0
Blue,853530,Codice non trovato nel database,0
Steel,853536,Codice non trovato nel database,0
Yellow,853538,Codice non trovato nel database,0
Comelit_Clearance,853550,Numero campi errato,0
Comelit_Clearance,853550,Codice non trovato nel database,0
Comelit_Display,853551,Numero campi errato,0
Comelit_Display,853551,Codice non trovato nel database,0
Comelit_Acciaio,853553,Numero campi errato,0
Comelit_Acciaio,853553,Codice non trovato nel database,0
Comelit_Acciaio LUCIDATO,853557,Numero campi errato,0
Comelit_Acciaio LUCIDATO,853557,Codice non trovato nel database,0
Clearance Areas,853560,Codice non trovato nel database,0
"Acciaio, 55-450",853565,Codice non trovato nel database,0
Parete container,853566,Codice non trovato nel database,0
Basamento acciaio,853570,Codice non trovato nel database,0
"Quadro elettrico Plastica, Bianca",853571,Codice non trovato nel database,0
Attrezzatura GE,853572,Codice non trovato nel database,0
Motore gruppo elettrogeno,853573,Codice non trovato nel database,0
Условный материал-отделка,854315,Codice non trovato nel database,0
Стадия - Снос,854316,Codice non trovato nel database,0
Стадия - Существующие,854317,Codice non trovato nel database,0
Стадия - Временные,854318,Codice non trovato nel database,0
Условный материал - отделка,854319,Codice non trovato nel database,0
NE,854341,Codice non trovato nel database,0
AL,854342,Codice non trovato nel database,0
Box,854343,Codice non trovato nel database,0
Direction,854349,Codice non trovato nel database,0
EAE Elektrik_Busbar,854350,Numero campi errato,0
EAE Elektrik_Busbar,854350,Codice non trovato nel database,0
ProductID,854351,Codice non trovato nel database,0
Label,854386,Codice non trovato nel database,0
Module_Name,854387,Numero campi errato,0
Module_Name,854387,Codice non trovato nel database,0
Direction_Error,854388,Numero campi errato,0
Direction_Error,854388,Codice non trovato nel database,0
Tap-off,854389,Codice non trovato nel database,0
EAE Elektrik Busbar,854401,Codice non trovato nel database,0
Poche1,2050557,Codice non trovato nel database,0
Poche,2063195,Codice non trovato nel database,0
Default,2122365,Codice non trovato nel database,0
Render Material 204-204-204,2233177,Codice non trovato nel database,0
Render Material 127-191-255,2233178,Codice non trovato nel database,0
Trasparente,2281320,Codice non trovato nel database,0
MaintenanceZone,2919429,Codice non trovato nel database,0
