Quantità,Modello,Type Name,ID,Livello,Verifica,Stato
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,3462615,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,3530341,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,3530547,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,3530560,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,3530770,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,3530784,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-700x250,3552576,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,3552671,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-800x400,3569654,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-800x400,3570774,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-500x300,3570782,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-800x400,3570796,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-500x300,3570821,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-800x400,3570916,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-500x300,3571135,,Corretta,1
