GUID,ID,Categoria,Famiglia e Tipo,Stato
ea3b4e21-2f2c-43bc-8541-c103180d99c8-000aefc5,716741,Fondazioni strutturali,ST_FON_PLT_Testata4Pali: ST_FON_PLT_Testata4Pali_3000x3000x1000mm_D600,1
ea3b4e21-2f2c-43bc-8541-c103180d99c8-000aefc6,716742,Fondazioni strutturali,ST_FON_PAL_PaloCalcestruzzo: ST_FON_PAL_PaloCalcestruzzo_600mm,1
ea3b4e21-2f2c-43bc-8541-c103180d99c8-000aefc7,716743,Fondazioni strutturali,ST_FON_PAL_PaloCalcestruzzo: ST_FON_PAL_PaloCalcestruzzo_600mm,1
ea3b4e21-2f2c-43bc-8541-c103180d99c8-000aefc8,716744,Fondazioni strutturali,ST_FON_PAL_PaloCalcestruzzo: ST_FON_PAL_PaloCalcestruzzo_600mm,1
ea3b4e21-2f2c-43bc-8541-c103180d99c8-000aefc9,716745,Fondazioni strutturali,ST_FON_PAL_PaloCalcestruzzo: ST_FON_PAL_PaloCalcestruzzo_600mm,1
ea3b4e21-2f2c-43bc-8541-c103180d99c8-000aefd5,716757,Fondazioni strutturali,ST_FON_PLT_Testata4Pali: ST_FON_PLT_Testata4Pali_3000x3000x1000mm_D600,1
ea3b4e21-2f2c-43bc-8541-c103180d99c8-000aefd6,716758,Fondazioni strutturali,ST_FON_PAL_PaloCalcestruzzo: ST_FON_PAL_PaloCalcestruzzo_600mm,1
ea3b4e21-2f2c-43bc-8541-c103180d99c8-000aefd7,716759,Fondazioni strutturali,ST_FON_PAL_PaloCalcestruzzo: ST_FON_PAL_PaloCalcestruzzo_600mm,1
ea3b4e21-2f2c-43bc-8541-c103180d99c8-000aefd8,716760,Fondazioni strutturali,ST_FON_PAL_PaloCalcestruzzo: ST_FON_PAL_PaloCalcestruzzo_600mm,1
ea3b4e21-2f2c-43bc-8541-c103180d99c8-000aefd9,716761,Fondazioni strutturali,ST_FON_PAL_PaloCalcestruzzo: ST_FON_PAL_PaloCalcestruzzo_600mm,1
ea3b4e21-2f2c-43bc-8541-c103180d99c8-000aefe1,716769,Fondazioni strutturali,ST_FON_PLT_Testata4Pali: ST_FON_PLT_Testata4Pali_3000x3000x1000mm_D600,1
ea3b4e21-2f2c-43bc-8541-c103180d99c8-000aefe2,716770,Fondazioni strutturali,ST_FON_PAL_PaloCalcestruzzo: ST_FON_PAL_PaloCalcestruzzo_600mm,1
ea3b4e21-2f2c-43bc-8541-c103180d99c8-000aefe3,716771,Fondazioni strutturali,ST_FON_PAL_PaloCalcestruzzo: ST_FON_PAL_PaloCalcestruzzo_600mm,1
ea3b4e21-2f2c-43bc-8541-c103180d99c8-000aefe4,716772,Fondazioni strutturali,ST_FON_PAL_PaloCalcestruzzo: ST_FON_PAL_PaloCalcestruzzo_600mm,1
ea3b4e21-2f2c-43bc-8541-c103180d99c8-000aefe5,716773,Fondazioni strutturali,ST_FON_PAL_PaloCalcestruzzo: ST_FON_PAL_PaloCalcestruzzo_600mm,1
ea3b4e21-2f2c-43bc-8541-c103180d99c8-000aefed,716781,Fondazioni strutturali,ST_FON_PLT_Testata4Pali: ST_FON_PLT_Testata4Pali_3000x3000x1000mm_D600,1
ea3b4e21-2f2c-43bc-8541-c103180d99c8-000aefee,716782,Fondazioni strutturali,ST_FON_PAL_PaloCalcestruzzo: ST_FON_PAL_PaloCalcestruzzo_600mm,1
ea3b4e21-2f2c-43bc-8541-c103180d99c8-000aefef,716783,Fondazioni strutturali,ST_FON_PAL_PaloCalcestruzzo: ST_FON_PAL_PaloCalcestruzzo_600mm,1
ea3b4e21-2f2c-43bc-8541-c103180d99c8-000aeff0,716784,Fondazioni strutturali,ST_FON_PAL_PaloCalcestruzzo: ST_FON_PAL_PaloCalcestruzzo_600mm,1
ea3b4e21-2f2c-43bc-8541-c103180d99c8-000aeff1,716785,Fondazioni strutturali,ST_FON_PAL_PaloCalcestruzzo: ST_FON_PAL_PaloCalcestruzzo_600mm,1
ea3b4e21-2f2c-43bc-8541-c103180d99c8-000af04d,716877,Fondazioni strutturali,ST_FON_PLT_Testata4Pali: ST_FON_PLT_Testata4Pali_3000x3000x1000mm_D600,1
ea3b4e21-2f2c-43bc-8541-c103180d99c8-000af04e,716878,Fondazioni strutturali,ST_FON_PAL_PaloCalcestruzzo: ST_FON_PAL_PaloCalcestruzzo_600mm,1
ea3b4e21-2f2c-43bc-8541-c103180d99c8-000af04f,716879,Fondazioni strutturali,ST_FON_PAL_PaloCalcestruzzo: ST_FON_PAL_PaloCalcestruzzo_600mm,1
ea3b4e21-2f2c-43bc-8541-c103180d99c8-000af050,716880,Fondazioni strutturali,ST_FON_PAL_PaloCalcestruzzo: ST_FON_PAL_PaloCalcestruzzo_600mm,1
ea3b4e21-2f2c-43bc-8541-c103180d99c8-000af051,716881,Fondazioni strutturali,ST_FON_PAL_PaloCalcestruzzo: ST_FON_PAL_PaloCalcestruzzo_600mm,1
ea3b4e21-2f2c-43bc-8541-c103180d99c8-000af079,716921,Fondazioni strutturali,ST_FON_PLT_Testata4Pali: ST_FON_PLT_Testata4Pali_3000x3000x1000mm_D600,1
ea3b4e21-2f2c-43bc-8541-c103180d99c8-000af07a,716922,Fondazioni strutturali,ST_FON_PAL_PaloCalcestruzzo: ST_FON_PAL_PaloCalcestruzzo_600mm,1
ea3b4e21-2f2c-43bc-8541-c103180d99c8-000af07b,716923,Fondazioni strutturali,ST_FON_PAL_PaloCalcestruzzo: ST_FON_PAL_PaloCalcestruzzo_600mm,1
