GUID,ID,Categoria,Famiglia e Tipo,Stato
e8d72edd-f6aa-4156-8447-5141691252ce-000b77fb,751611,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b782d,751661,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b7b34,752436,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b7b73,752499,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b7c6d,752749,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b7dac,753068,Muri,Muro di base: AR_MUR_DIV_150_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b7dad,753069,Muri,Muro di base: AR_MUR_TAM_150_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b7dae,753070,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b7db0,753072,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b7db3,753075,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b7e13,753171,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b7e4f,753231,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b7e89,753289,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b7eaf,753327,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b7f11,753425,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
e8d72edd-f6aa-4156-8447-5141691252ce-000b7fef,753647,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
cc196b45-83b8-40ce-aaf3-85c10726eb51-000b80a4,753828,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
cc196b45-83b8-40ce-aaf3-85c10726eb51-000b80bc,753852,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
cc196b45-83b8-40ce-aaf3-85c10726eb51-000b80e0,753888,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
cc196b45-83b8-40ce-aaf3-85c10726eb51-000b814b,753995,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
