Quantità,Modello,Nome del Tipo,ID,Tipo,Stato
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_PomelloDoppioPorta:ARC_GEN_MGE_Gen_PomelloDoppioPorta,3447205,ARC_GEN_MGE_Gen_PomelloDoppioPorta:ARC_GEN_MGE_Gen_PomelloDoppioPorta,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,3449192,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,3449193,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_PomelloDoppioPorta:ARC_GEN_MGE_Gen_PomelloDoppioPorta,3449364,ARC_GEN_MGE_Gen_PomelloDoppioPorta:ARC_GEN_MGE_Gen_PomelloDoppioPorta,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_PomelloDoppioPorta:ARC_GEN_MGE_Gen_PomelloDoppioPorta,3449365,ARC_GEN_MGE_Gen_PomelloDoppioPorta:ARC_GEN_MGE_Gen_PomelloDoppioPorta,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_PomelloDoppioPorta:ARC_GEN_MGE_Gen_PomelloDoppioPorta,3449366,ARC_GEN_MGE_Gen_PomelloDoppioPorta:ARC_GEN_MGE_Gen_PomelloDoppioPorta,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,3459092,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,3459093,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_PomelloDoppioPorta:ARC_GEN_MGE_Gen_PomelloDoppioPorta,3459211,ARC_GEN_MGE_Gen_PomelloDoppioPorta:ARC_GEN_MGE_Gen_PomelloDoppioPorta,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_PomelloDoppioPorta:ARC_GEN_MGE_Gen_PomelloDoppioPorta,3459212,ARC_GEN_MGE_Gen_PomelloDoppioPorta:ARC_GEN_MGE_Gen_PomelloDoppioPorta,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_PomelloDoppioPorta:ARC_GEN_MGE_Gen_PomelloDoppioPorta,3459213,ARC_GEN_MGE_Gen_PomelloDoppioPorta:ARC_GEN_MGE_Gen_PomelloDoppioPorta,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,3465793,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,3465794,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,3465799,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,3465800,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,3465803,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,1
1,R014_ADB_028_PD_ARC_M3_000_R00,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,3465804,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,1
