GUID,ID,Famiglia e tipo,Livello,Workset,Stato
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3eb9,933561,SGS_TF_Rectangular_Bend_Vertical Inside: Standard,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Rectangular_Bend_Vertical Inside,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3eba,933562,SGS_TF_Rectangular_Bend_Vertical Outside: Standard,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Rectangular_Bend_Vertical Outside,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3ebb,933563,SGS_TF_Rectangular_CounterFloorJunction(Bocchettone): MT_CounterFloorJunction,SGS_TMP_Level 1,Family  : Cable Tray Fittings : SGS_TF_Rectangular_CounterFloorJunction(Bocchettone),1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3ebc,933564,SGS_TF_Rectangular_TransitionBox_1x4: MT_TransitionBox_1x4,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Rectangular_TransitionBox_1x4,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3ebd,933565,SGS_TF_Rectangular_TransitionBox_3x4: MT_TransitionBox_3x4,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Rectangular_TransitionBox_3x4,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3e64,933476,SGS_TF_Solid_Bend_Horizontal: Standard,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Solid_Bend_Horizontal,1
09881ccc-a045-4747-a145-48840dac41f7-0023581c,2316316,SGS_TF_Solid_Bend_Horizontal: Standard,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Solid_Bend_Horizontal,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3e65,933477,SGS_TF_Solid_Bend_Horizontal_FreeRadius: Standard,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Solid_Bend_Horizontal_FreeRadius,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3e66,933478,SGS_TF_Solid_Bend_Vertical Inside: Standard,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Solid_Bend_Vertical Inside,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3e67,933479,SGS_TF_Solid_Bend_Vertical Inside_FreeRadius: Standard,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Solid_Bend_Vertical Inside_FreeRadius,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3e68,933480,SGS_TF_Solid_Bend_Vertical Outside: Standard,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Solid_Bend_Vertical Outside,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3e69,933481,SGS_TF_Solid_Bend_Vertical Outside_FreeRadius: Standard,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Solid_Bend_Vertical Outside_FreeRadius,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3e6a,933482,SGS_TF_Solid_Cross_Horizontal: Radius_300_mm,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Solid_Cross_Horizontal,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3e6b,933483,SGS_TF_Solid_Reducer_Horizontal: Standard,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Solid_Reducer_Horizontal,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3e6c,933484,SGS_TF_Solid_Tee_Horizontal: Radius_300_mm,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Solid_Tee_Horizontal,1
09881ccc-a045-4747-a145-48840dac41f7-00235818,2316312,SGS_TF_Solid_Tee_Horizontal: Radius_300_mm,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Solid_Tee_Horizontal,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e3e6d,933485,SGS_TF_Solid_Union_Horizontal: Standard,SGS_TMP_Level 1,Famiglia  : Raccordi passerella : SGS_TF_Solid_Union_Horizontal,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e41da,934362,TOTEM informativo: JS43 - Bianco Carrara - RAL 9016,SGS_TMP_Level 1,Famiglia  : Dispositivi di comunicazione : TOTEM informativo,1
184662ea-7571-4a4e-9746-b210ee230cbc-0042a3a7,4367271,Trasformatore: 2500 kVA,ELE_LIV_PE_P00_+0.00m,Famiglia  : Attrezzatura elettrica : Trasformatore,1
184662ea-7571-4a4e-9746-b210ee230cbc-0042a3ea,4367338,Trasformatore: 2500 kVA,ELE_LIV_PE_P00_+0.00m,Famiglia  : Attrezzatura elettrica : Trasformatore,1
184662ea-7571-4a4e-9746-b210ee230cbc-0042a3f2,4367346,Trasformatore: 2500 kVA,ELE_LIV_PE_P00_+0.00m,Famiglia  : Attrezzatura elettrica : Trasformatore,1
da6ea88f-52f7-4480-8e9c-e3ae49a8d524-00228ab0,2263728,Tubazione: SGS_GS_GroundingSystem,,Pipe Types,1
da6ea88f-52f7-4480-8e9c-e3ae49a8d524-00228abd,2263741,Tubazione: SGS_GS_GroundingSystem,,Pipe Types,1
0a6ca0f2-7756-4101-a6f6-c15acf421f0a-00228b2c,2263852,Tubazione: SGS_GS_GroundingSystem,,Pipe Types,1
8bccb6cb-a577-40cc-8f97-7617c301fbaa-00228cd4,2264276,Tubazione: SGS_GS_GroundingSystem,,Pipe Types,1
8bccb6cb-a577-40cc-8f97-7617c301fbaa-00228cdf,2264287,Tubazione: SGS_GS_GroundingSystem,,Pipe Types,1
4ea8f381-c2e8-4c93-8917-43146b531216-00232815,2304021,Tubazione: SGS_GS_GroundingSystem,,Pipe Types,1
4ea8f381-c2e8-4c93-8917-43146b531216-00232822,2304034,Tubazione: SGS_GS_GroundingSystem,,Pipe Types,1
60d8aa6d-2379-4e8e-9f50-777b64da3411-0035d1d6,3527126,Tubazione: SGS_GS_GroundingSystem,,Pipe Types,1
60d8aa6d-2379-4e8e-9f50-777b64da3411-0035d1d8,3527128,Tubazione: SGS_GS_GroundingSystem,,Pipe Types,1
60d8aa6d-2379-4e8e-9f50-777b64da3411-0035d1dc,3527132,Tubazione: SGS_GS_GroundingSystem,,Pipe Types,1
60d8aa6d-2379-4e8e-9f50-777b64da3411-0035d1e0,3527136,Tubazione: SGS_GS_GroundingSystem,,Pipe Types,1
60d8aa6d-2379-4e8e-9f50-777b64da3411-0035d1e3,3527139,Tubazione: SGS_GS_GroundingSystem,,Pipe Types,1
60d8aa6d-2379-4e8e-9f50-777b64da3411-0035d1e6,3527142,Tubazione: SGS_GS_GroundingSystem,,Pipe Types,1
60d8aa6d-2379-4e8e-9f50-777b64da3411-0035d1e9,3527145,Tubazione: SGS_GS_GroundingSystem,,Pipe Types,1
084de18e-997d-442a-82d0-938bd633dccd-00363662,3552866,Tubazione: SGS_GS_GroundingSystem,,Pipe Types,1
084de18e-997d-442a-82d0-938bd633dccd-00363664,3552868,Tubazione: SGS_GS_GroundingSystem,,Pipe Types,1
084de18e-997d-442a-82d0-938bd633dccd-00363667,3552871,Tubazione: SGS_GS_GroundingSystem,,Pipe Types,1
084de18e-997d-442a-82d0-938bd633dccd-0036366a,3552874,Tubazione: SGS_GS_GroundingSystem,,Pipe Types,1
fedadf38-59d8-4a23-9b02-e1488a3a7eb2-003ae73a,3862119,Tubazione: SGS_GS_GroundingSystem,,Pipe Types,1
fedadf38-59d8-4a23-9b02-e1488a3a7eb2-003ae7c9,3862123,Tubazione: SGS_GS_GroundingSystem,,Pipe Types,1
fedadf38-59d8-4a23-9b02-e1488a3a7eb2-003ae814,3862126,Tubazione: SGS_GS_GroundingSystem,,Pipe Types,1
fedadf38-59d8-4a23-9b02-e1488a3a7eb2-003ae827,3862128,Tubazione: SGS_GS_GroundingSystem,,Pipe Types,1
fedadf38-59d8-4a23-9b02-e1488a3a7eb2-003ae84c,3862130,Tubazione: SGS_GS_GroundingSystem,,Pipe Types,1
fedadf38-59d8-4a23-9b02-e1488a3a7eb2-003aea7b,3862135,Tubazione: SGS_GS_GroundingSystem,,Pipe Types,1
fedadf38-59d8-4a23-9b02-e1488a3a7eb2-003aeb9a,3862138,Tubazione: SGS_GS_GroundingSystem,,Pipe Types,1
fedadf38-59d8-4a23-9b02-e1488a3a7eb2-003aeb9d,3862141,Tubazione: SGS_GS_GroundingSystem,,Pipe Types,1
fedadf38-59d8-4a23-9b02-e1488a3a7eb2-003aeba9,3862144,Tubazione: SGS_GS_GroundingSystem,,Pipe Types,1
fedadf38-59d8-4a23-9b02-e1488a3a7eb2-003aebac,3862147,Tubazione: SGS_GS_GroundingSystem,,Pipe Types,1
fedadf38-59d8-4a23-9b02-e1488a3a7eb2-003aecdd,3862157,Tubazione: SGS_GS_GroundingSystem,,Pipe Types,1
fedadf38-59d8-4a23-9b02-e1488a3a7eb2-003aece0,3862160,Tubazione: SGS_GS_GroundingSystem,,Pipe Types,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e4323,934691,Tubazione: SGS_LP_LightnigProtection,,Pipe Types,1
4ea8f381-c2e8-4c93-8917-43146b531216-0023287e,2304126,Tubazione: SGS_LP_LightnigProtection,,Pipe Types,1
4ea8f381-c2e8-4c93-8917-43146b531216-0023288c,2304140,Tubazione: SGS_LP_LightnigProtection,,Pipe Types,1
4ea8f381-c2e8-4c93-8917-43146b531216-002328a6,2304166,Tubazione: SGS_LP_LightnigProtection,,Pipe Types,1
4ea8f381-c2e8-4c93-8917-43146b531216-002328af,2304175,Tubazione: SGS_LP_LightnigProtection,,Pipe Types,1
4ea8f381-c2e8-4c93-8917-43146b531216-002328d3,2304211,Tubazione: SGS_LP_LightnigProtection,,Pipe Types,1
4ea8f381-c2e8-4c93-8917-43146b531216-002328f9,2304249,Tubazione: SGS_LP_LightnigProtection,,Pipe Types,1
4ea8f381-c2e8-4c93-8917-43146b531216-00232902,2304258,Tubazione: SGS_LP_LightnigProtection,,Pipe Types,1
60d8aa6d-2379-4e8e-9f50-777b64da3411-0035d1d2,3527122,Tubazione: SGS_LP_LightnigProtection,,Pipe Types,1
