Quantità,Nome della famiglia e del Tipo,IFC Element,ID,Valori Parametri,Verifica,Stato
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,Dettagliato,988205,Corretta,1
1,ST_TRA_MEN_Car:ST_TRA_MEN_Car_50x55x(65/30),IfcBeam,721041,3D,Corretta,1
1,ST_TRA_MEN_Car:ST_TRA_MEN_Car_39x55x(65/30),IfcBeam,806373,3D,Corretta,1
1,ST_TRA_MEN_Car:ST_TRA_MEN_Car_50x55x(65/30),IfcBeam,808666,3D,Corretta,1
1,ST_TRA_MEN_Car:ST_TRA_MEN_Car_39x55x(65/30),IfcBeam,815214,3D,Corretta,1
1,ST_TRA_MEN_Car:ST_TRA_MEN_Car_50x55x(65/30),IfcBeam,1031817,3D,Corretta,1
1,ST_TRA_MEN_Car:ST_TRA_MEN_Car_50x55x(65/30),IfcBeam,1032429,3D,Corretta,1
1,ST_TRA_MEN_Car:ST_TRA_MEN_Car_50x55x(65/30),IfcBeam,1032596,3D,Corretta,1
1,ST_TRA_MEN_Car:ST_TRA_MEN_Car_50x55x(65/30),IfcBeam,1032793,3D,Corretta,1
1,,IfcPile,832114,3D,Corretta,1
1,,IfcPile,832115,3D,Corretta,1
1,,IfcPile,832116,3D,Corretta,1
1,,IfcPile,832118,3D,Corretta,1
1,,IfcPile,832119,3D,Corretta,1
1,,IfcPile,843631,3D,Corretta,1
1,,IfcPile,843632,3D,Corretta,1
1,,IfcPile,843633,3D,Corretta,1
1,,IfcPile,843634,3D,Corretta,1
1,,IfcPile,843636,3D,Corretta,1
1,,IfcPile,843637,3D,Corretta,1
1,,IfcPile,843638,3D,Corretta,1
1,,IfcPile,843639,3D,Corretta,1
1,,IfcPile,843640,3D,Corretta,1
1,,IfcPile,843641,3D,Corretta,1
1,,IfcPile,843642,3D,Corretta,1
1,,IfcPile,843643,3D,Corretta,1
1,,IfcPile,843644,3D,Corretta,1
1,,IfcPile,843645,3D,Corretta,1
1,,IfcPile,843646,3D,Corretta,1
1,,IfcPile,843647,3D,Corretta,1
1,,IfcPile,843648,3D,Corretta,1
1,,IfcPile,843649,3D,Corretta,1
1,,IfcPile,843650,3D,Corretta,1
1,,IfcPile,843651,3D,Corretta,1
1,,IfcPile,843652,3D,Corretta,1
1,,IfcPile,843653,3D,Corretta,1
1,,IfcPile,843654,3D,Corretta,1
1,,IfcPile,843655,3D,Corretta,1
1,,IfcPile,843656,3D,Corretta,1
1,,IfcPile,843657,3D,Corretta,1
1,,IfcPile,843658,3D,Corretta,1
1,,IfcPile,843659,3D,Corretta,1
1,,IfcPile,843660,3D,Corretta,1
1,,IfcPile,843661,3D,Corretta,1
1,,IfcPile,843662,3D,Corretta,1
1,,IfcPile,843663,3D,Corretta,1
1,,IfcPile,843664,3D,Corretta,1
1,,IfcPile,843665,3D,Corretta,1
1,,IfcPile,843666,3D,Corretta,1
1,,IfcPile,843667,3D,Corretta,1
1,,IfcPile,843668,3D,Corretta,1
1,,IfcPile,843669,3D,Corretta,1
1,,IfcPile,843670,3D,Corretta,1
1,,IfcPile,843671,3D,Corretta,1
1,,IfcPile,843672,3D,Corretta,1
1,,IfcPile,843673,3D,Corretta,1
1,,IfcPile,843674,3D,Corretta,1
1,,IfcPile,843675,3D,Corretta,1
1,,IfcPile,843676,3D,Corretta,1
1,,IfcPile,843677,3D,Corretta,1
1,,IfcPile,843678,3D,Corretta,1
1,,IfcPile,843679,3D,Corretta,1
1,,IfcPile,843688,3D,Corretta,1
1,,IfcPile,843689,3D,Corretta,1
1,,IfcPile,843690,3D,Corretta,1
1,,IfcPile,843691,3D,Corretta,1
1,,IfcPile,843692,3D,Corretta,1
1,,IfcPile,843693,3D,Corretta,1
1,,IfcPile,843694,3D,Corretta,1
1,,IfcPile,843695,3D,Corretta,1
1,,IfcPile,843696,3D,Corretta,1
1,,IfcPile,843697,3D,Corretta,1
1,,IfcPile,843698,3D,Corretta,1
1,,IfcPile,843699,3D,Corretta,1
1,,IfcPile,843700,3D,Corretta,1
1,,IfcPile,843701,3D,Corretta,1
1,,IfcPile,843702,3D,Corretta,1
1,,IfcPile,843703,3D,Corretta,1
1,,IfcPile,843704,3D,Corretta,1
1,,IfcPile,843705,3D,Corretta,1
1,,IfcPile,843706,3D,Corretta,1
1,,IfcPile,843707,3D,Corretta,1
1,,IfcPile,843708,3D,Corretta,1
1,,IfcPile,843709,3D,Corretta,1
1,,IfcPile,843710,3D,Corretta,1
1,,IfcPile,843711,3D,Corretta,1
1,,IfcPile,843712,3D,Corretta,1
1,,IfcPile,843713,3D,Corretta,1
1,,IfcPile,843714,3D,Corretta,1
1,,IfcPile,843715,3D,Corretta,1
1,,IfcPile,843716,3D,Corretta,1
1,,IfcPile,843717,3D,Corretta,1
1,,IfcPile,843718,3D,Corretta,1
1,,IfcPile,843719,3D,Corretta,1
1,,IfcPile,843720,3D,Corretta,1
1,,IfcPile,843721,3D,Corretta,1
1,,IfcPile,843722,3D,Corretta,1
1,,IfcPile,843723,3D,Corretta,1
1,,IfcPile,843724,3D,Corretta,1
1,,IfcPile,843725,3D,Corretta,1
1,,IfcPile,843726,3D,Corretta,1
1,,IfcPile,843727,3D,Corretta,1
1,,IfcPile,843728,3D,Corretta,1
1,,IfcPile,843729,3D,Corretta,1
1,,IfcPile,843730,3D,Corretta,1
1,,IfcPile,843731,3D,Corretta,1
1,,IfcPile,843732,3D,Corretta,1
1,,IfcPile,843733,3D,Corretta,1
1,,IfcPile,843734,3D,Corretta,1
1,,IfcPile,843735,3D,Corretta,1
1,,IfcPile,843736,3D,Corretta,1
1,,IfcPile,843737,3D,Corretta,1
1,,IfcPile,843738,3D,Corretta,1
1,,IfcPile,843739,3D,Corretta,1
1,,IfcPile,843740,3D,Corretta,1
1,,IfcPile,843741,3D,Corretta,1
1,,IfcPile,843742,3D,Corretta,1
1,,IfcPile,843743,3D,Corretta,1
1,,IfcPile,843744,3D,Corretta,1
1,,IfcPile,843745,3D,Corretta,1
1,,IfcPile,843746,3D,Corretta,1
